video_url,Step_No,Instruction_Text,Action_Type,Tool_Product,Purpose_Outcome,NLP_Matched,AI_Matched
https://www.youtube.com/watch?v=leW9ZotUVYo,1,"To play Hangman, you'll need at least two players.",Play,Hangman,Hangman,Play online or on an app to practice by yourself.,"Play ""In & Out"" Hangman for a more challenging game."
https://www.youtube.com/watch?v=leW9ZotUVYo,2,"First, one player comes up with a word or phrase for the puzzle.",Come,with,with a word or phrase for the puzzle,Draw a blank line for each letter in the word.,The players win when they guess the correct word.
https://www.youtube.com/watch?v=leW9ZotUVYo,3,"That player draws a dash for each letter in the puzzle, leaving a space between words.",Draw,dash,a dash for each letter in the puzzle,Draw a blank line for each letter in the word.,Fill the letter in the blanks if the players guess correctly.
https://www.youtube.com/watch?v=leW9ZotUVYo,4,Then draws the gallows above the dashes.,Draw,gallows,the gallows,"Choose one person to be the ""host.","Draw part of the ""hangman"" when the players guess wrong."
https://www.youtube.com/watch?v=leW9ZotUVYo,5,"Now, the other player guesses letters one at a time that they think are in the secret word or phrase.",Guess,letters,letters,Start guessing letters if you are the player.,The players win when they guess the correct word.
https://www.youtube.com/watch?v=leW9ZotUVYo,6,"If they guess right, the player who made the puzzle writes in the letter over any corresponding dashes.",Guess,player,the puzzle,Fill the letter in the blanks if the players guess correctly.,Fill the letter in the blanks if the players guess correctly.
https://www.youtube.com/watch?v=leW9ZotUVYo,7,"If they guess wrong, the player who made the puzzle draws a head hanging off of the gallows and writes down the incorrect letter for the guessing player to use as a reference.",Guess,wrong,the puzzle,Start guessing letters if you are the player.,Fill the letter in the blanks if the players guess correctly.
https://www.youtube.com/watch?v=leW9ZotUVYo,8,"Each time the guessing player chooses a wrong letter, a new body part is added to the Hangman.",Add,,a wrong letter,"Draw part of the ""hangman"" when the players guess wrong.","Draw part of the ""hangman"" when the players guess wrong."
https://www.youtube.com/watch?v=leW9ZotUVYo,9,"The Hangman should consist of a head, a body, two arms, and two legs.",Consist,,The Hangman,"Draw part of the ""hangman"" when the players guess wrong.","Draw part of the ""hangman"" when the players guess wrong."
https://www.youtube.com/watch?v=leW9ZotUVYo,10,"If the guessing player correctly guesses the puzzle or fills in all of the letters before the Hangman is complete, they win.",Guess,puzzle,the puzzle,Start guessing letters if you are the player.,"Draw part of the ""hangman"" when the players guess wrong."
https://www.youtube.com/watch?v=leW9ZotUVYo,11,"If they don't, the player who came up with the puzzle wins.",Do,,with the puzzle,Start guessing letters if you are the player.,The players win when they guess the correct word.
https://www.youtube.com/watch?v=leW9ZotUVYo,12,"Once a player wins, switch roles so that the guessing player from the previous round is now the player coming up with the puzzle.",Win,roles,roles,Start guessing letters if you are the player.,Fill the letter in the blanks if the players guess correctly.
https://www.youtube.com/watch?v=a25oqnFrXGM,1,"To restore a sword, first wipe away any obvious dust or debris with a cloth.",Restore,sword,a sword,Use a professional for deep nicks or extensive rust damage.,Prevent scratches by gently handling your sword.
https://www.youtube.com/watch?v=a25oqnFrXGM,2,"If it's rusty, grab some 220 grit sandpaper and carefully work the sandpaper back and forth over the rust until it starts to wear away.",Grab,sandpaper,it,Avoid over-oiling the blade by wiping away excess oil.,Remove rust and scratches with metal abrasive pads.
https://www.youtube.com/watch?v=a25oqnFrXGM,3,Wear cut resistant gloves to do this if your sword is newer or still sharp.,Cut,gloves,cut resistant gloves,Coat your sword in Vaseline and wrap in rags to store.,Prevent scratches by gently handling your sword.
https://www.youtube.com/watch?v=a25oqnFrXGM,4,"Once most of the rust is gone, move up to a 600 grit sandpaper and repeat the process until the surface of the blade or handle is perfectly smooth.",Move,,most of the rust,Wipe the oil onto the entire length of the blade.,Remove rust and scratches with metal abrasive pads.
https://www.youtube.com/watch?v=a25oqnFrXGM,5,"If any discoloration remains, use a sheet of 1500 grit sandpaper to wear it away.",Remain,,any discoloration,Avoid over-oiling the blade by wiping away excess oil.,Put a small amount of oil on a lint-free cloth.
https://www.youtube.com/watch?v=a25oqnFrXGM,6,"Next, gently run a clean sheet of 600 grit sandpaper back and forth over the entire surface of the blade and handle.",Run,sheet,a clean sheet of 600 grit sandpaper,Wipe the oil onto the entire length of the blade.,Avoid over-oiling the blade by wiping away excess oil.
https://www.youtube.com/watch?v=a25oqnFrXGM,7,This will smooth out any scratches you created when you were removing the rust and keep your sword's surface looking uniform.,Smooth,scratches,any scratches you created when you were removing the rust,"Keep the sword in a cool, dry place when storing.",Prevent scratches by gently handling your sword.
https://www.youtube.com/watch?v=a25oqnFrXGM,8,"Then, squirt some metal polishing paste along any surface you want to clean up.",Squirt,paste,some metal polishing paste,Use leather wax paste on leather hilts to prevent cracking.,Remove rust and scratches with metal abrasive pads.
https://www.youtube.com/watch?v=a25oqnFrXGM,9,Get a buffing wheel or a rotary tool with a cloth attachment and begin working the polish into the sword.,Get,wheel,a buffing wheel or a rotary tool with a cloth attachment,Use a professional for deep nicks or extensive rust damage.,Use lacquer thinner with benzene to wipe gunk off Japanese swords.
https://www.youtube.com/watch?v=a25oqnFrXGM,10,Keep your wheel or tool moving to avoid buffing any one portion of the sword for too long.,Keep,wheel,your wheel or tool moving to avoid buffing any one portion of the sword for too long,"Keep the sword in a cool, dry place when storing.",Prevent scratches by gently handling your sword.
https://www.youtube.com/watch?v=a25oqnFrXGM,11,"Once a portion is completely clean and shiny, move on to another portion of the sword.",Move,,a portion,Put a small amount of oil on a lint-free cloth.,Coat your sword in Vaseline and wrap in rags to store.
https://www.youtube.com/watch?v=a25oqnFrXGM,12,"When you're done, give it one final wipe down with a microfiber cloth to remove any excess polish.",Do,,one final wipe down,Use a lint-free cloth to remove factory grease.,Wipe the blade dry to prevent moisture damage.
https://www.youtube.com/watch?v=a25oqnFrXGM,13,"Keep in mind, if you have an antique sword or you're keen on preserving the value of the sword, do not attempt to restore the sword at home.",Keep,in mind,"if you have an antique sword or you 're keen on preserving the value of the sword , do not attempt to restore the sword at home","Keep the sword in a cool, dry place when storing.","Keep the sword in a cool, dry place when storing."
https://www.youtube.com/watch?v=a25oqnFrXGM,14,Take it to a professional and have them take a look at it before they restore it.,Take,,it,Use a professional for deep nicks or extensive rust damage.,Wipe the blade dry to prevent moisture damage.
https://www.youtube.com/watch?v=NH4mvcD6DpE,1,This deal is glauben Number 1 for this partnership.,,,This deal,,Let steep.
https://www.youtube.com/watch?v=40vDnmTMaB0,1,"I think cool, go ahead.",Think,,cool,,Add the leaves that you want to preserve to the top of the borax.
https://www.youtube.com/watch?v=wBZxya7QWJY,1,To lose water weight.,Lose,weight,water weight,Talk to your doctor.,Take water pills.
https://www.youtube.com/watch?v=wBZxya7QWJY,2,"It might seem counterintuitive, but you should actually drink more water.",Seem,,counterintuitive,Drink more water.,Drink more water.
https://www.youtube.com/watch?v=wBZxya7QWJY,3,"If you aren't drinking enough water, your body becomes dehydrated and starts to retain water.",Drink,water,enough water,Drink more water.,Drink more water.
https://www.youtube.com/watch?v=wBZxya7QWJY,4,Drinking water will rehydrate your system and stop your body from storing extra water reserves.,Rehydrate,system,your system,Drink more water.,Take water pills.
https://www.youtube.com/watch?v=wBZxya7QWJY,5,"In addition, avoid eating foods that have lots of sodium, like packaged snacks and frozen meals.",Avoid,In addition,"eating foods that have lots of sodium , like packaged snacks and frozen meals",Eat foods that contain probiotics.,Limit your sodium intake.
https://www.youtube.com/watch?v=wBZxya7QWJY,6,Since excess sodium can also make your body hold on to water.,Make,,your body hold on to water,Limit your sodium intake.,Limit your sodium intake.
https://www.youtube.com/watch?v=wBZxya7QWJY,7,"For a longer term but effective strategy, eat foods rich in potassium like bananas, avocados and carrots, which may help your body lose extra water weight.",Eat,For,"foods rich in potassium like bananas , avocados and carrots",Eat more potassium-rich foods.,Eat more potassium-rich foods.
https://www.youtube.com/watch?v=wBZxya7QWJY,8,Try incorporating regular exercise to your routine to increase your heart rate and breathing pace and cause yourself to sweat.,Try,,incorporating regular exercise to your routine to increase your heart rate and breathing pace and cause yourself to sweat,Talk to your doctor.,Drink more water.
https://www.youtube.com/watch?v=wBZxya7QWJY,9,Perspiration can help reduce fluid retention.,Help,,reduce fluid retention,,Drink more water.
https://www.youtube.com/watch?v=wBZxya7QWJY,10,"Finally, to lose weight in the long run, adjust your portion sizes and exercise regularly to burn calories.",Lose,weight,weight,Talk to your doctor.,Limit the amount carbs in your diet.
https://www.youtube.com/watch?v=62065uftrR0,1,"Green tea toner may help reduce inflammation and redness, prevent acne, and brighten your complexion.",Help,,"reduce inflammation and redness , prevent acne , and brighten your complexion",Apply your homemade green tea toner with a cotton ball or spray bottle.,Moisturize your skin as usual after applying the green tea toner.
https://www.youtube.com/watch?v=62065uftrR0,2,"To make your own green tea toner, first add 1 cup, 240 ml of water to a small pot.",Make,toner,your own green tea toner,Add 1 green tea bag or 1 teaspoon (5 g) of loose green tea to a mug.,Apply your homemade green tea toner with a cotton ball or spray bottle.
https://www.youtube.com/watch?v=62065uftrR0,3,Let the tea cool.,Let,,the tea cool,Allow the green tea to cool before using it.,Allow the green tea to cool before using it.
https://www.youtube.com/watch?v=62065uftrR0,4,Then pour it into a glass spritz bottle.,Pour,,it,Apply your homemade green tea toner with a cotton ball or spray bottle.,Pour 8  fl oz (240 mL) of boiling water over the tea.
https://www.youtube.com/watch?v=62065uftrR0,5,Shake thoroughly and you're done.,Shake,,you,,Wash your face
https://www.youtube.com/watch?v=62065uftrR0,6,"You can use 2 tablespoons, 30 ml of witch hazel instead of essential oil if you'd like.",Use,tablespoons,"2 tablespoons , 30 ml of witch hazel instead of essential oil",Mix in 1 US tbsp (15 mL) of witch hazel for a stronger astringent.,Mix in 1 US tbsp (15 mL) of witch hazel for a stronger astringent.
https://www.youtube.com/watch?v=62065uftrR0,7,"To use your green tea toner, spray it on your face after washing it and allow it to dry.",Use,toner,your green tea toner,Allow the green tea to cool before using it.,Apply your homemade green tea toner with a cotton ball or spray bottle.
https://www.youtube.com/watch?v=v3b4a2l3_4s,1,"To unblock a toilet without a plunger, start by wrapping a plastic bag around the end of a mopper toilet brush.",Unblock,toilet,a toilet,Cover the end of a toilet brush with a plastic bag.,Use the end of the toilet brush to plunge your toilet.
https://www.youtube.com/watch?v=v3b4a2l3_4s,2,Then use the mopper toilet brush to plunge the toilet like you would if you were using a plunger.,Use,brush,the mopper toilet brush,Use the end of the toilet brush to plunge your toilet.,Use the end of the toilet brush to plunge your toilet.
https://www.youtube.com/watch?v=v3b4a2l3_4s,3,You can also bend a metal coat hanger so it's curved and then use the curved end to plunge the toilet.,Bend,hanger,a metal coat hanger,Bend a metal coat hanger into a curve.,Use the end of the toilet brush to plunge your toilet.
https://www.youtube.com/watch?v=v3b4a2l3_4s,4,"If all else fails, try mixing baking soda and vinegar in a bowl and pouring it down the toilet.",Fail,,all else,Mix 1 part baking soda and 1 part vinegar in a large container.,Pour the baking soda and vinegar mixture into your clogged toilet.
https://www.youtube.com/watch?v=v3b4a2l3_4s,5,Let the mixture sit for 5 to 10 minutes and then flush the toilet.,Let,,the mixture sit for 5 to 10 minutes and then flush the toilet,Let the mixture sit for 5-10 minutes and then flush your toilet.,Let the mixture sit for 5-10 minutes and then flush your toilet.
https://www.youtube.com/watch?v=bISycdg7Pwo,1,To make red shades with paints or food coloring start by using pure red You won't be able to make red from other colors because it's a primary color that can't be produced by mixing shades If you want a cooler red try mixing red with a small amount of blue to produce a violet red color For a warm variation mix the pure red with yellow to create orange red For a burgundy color mix red with violet To make a red with strong brown undertones mix red with orange If you simply want a lighter shade stir in white or for a darker shade mix with black,Make,shades,red shades with paints or food coloring start by using pure red,Mix red with orange and violet.,Practice mixing red with other primary colors.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,1,"To boil chicken, first place boneless, skinless chicken breasts in a large pot and fill the pot with enough water to cover them.",Boil,chicken,chicken,Pour in enough cold water or stock to cover the chicken.,Boil a whole chicken for 80 to 90 minutes.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,2,Season the water with salt and pepper to give the chicken more flavor.,Season,water,the water,Pour in enough cold water or stock to cover the chicken.,Customize the flavor of the chicken by adding spices.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,3,"Add carrots, onions, and fresh herbs for even more flavor if you'd like.",Add,carrots,"carrots , onions , and fresh herbs",Use forks if you'd like to shred the chicken.,Add a variety of vegetables to create a rich flavor.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,4,Cover the pot and reduce to a rapid simmer for 10 minutes.,Cover,pot,the pot,Pour in enough cold water or stock to cover the chicken.,Put a handful of fresh herbs into the pot.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,5,"Or until the chicken has an internal temperature of 165 degrees Fahrenheit, 75 degrees Celsius.",Have,temperature,"an internal temperature of 165 degrees Fahrenheit , 75 degrees Celsius",Pour in enough cold water or stock to cover the chicken.,Remove the boiled chicken and serve it while it's hot.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,6,Remove the chicken breasts from the pot and let them cool for 10 minutes.,Remove,breasts,the chicken breasts,Remove the boiled chicken and serve it while it's hot.,Cook the chicken breasts for 15 to 30 minutes.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,7,"Finally, use two forks to shred the chicken or cut it into thin slices with a knife.",Use,forks,two forks,Use forks if you'd like to shred the chicken.,Use forks if you'd like to shred the chicken.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,8,"To boil a whole chicken, follow the same steps, but let the chicken simmer for one and a half to two hours.",Boil,chicken,a whole chicken,Boil a whole chicken for 80 to 90 minutes.,Boil a whole chicken for 80 to 90 minutes.
https://www.youtube.com/watch?v=ErP8VJ7UuNc,9,So it cooks all the way through.,Cook,,,Remove the boiled chicken and serve it while it's hot.,Use forks if you'd like to shred the chicken.
https://www.youtube.com/watch?v=0V6Eh8U-xqA,1,"To get tree sap off your hands, rub a little bit of cooking oil onto your skin, scrubbing lightly for 30 to 60 seconds.",Get,,tree sap,Rub the hand sanitizer onto your hands to remove the sap.,Rub the hand sanitizer onto your hands to remove the sap.
https://www.youtube.com/watch?v=0V6Eh8U-xqA,2,"If there's still sap on your hands, pour some baking soda directly onto the sticky spot, and mix it with the oil until the sap breaks down.",Be,sap,sap,Wipe down your saw or pruners with hand sanitizer if they’re sticky.,Rub the hand sanitizer onto your hands to remove the sap.
https://www.youtube.com/watch?v=0V6Eh8U-xqA,3,"Alternatively, try rubbing some peanut butter onto the sap to help it come off.",Try,,rubbing some peanut butter onto the sap to help it come off,"Use cooking oil, like vegetable, olive, or canola, or margarine to get it off.",Try mineral oil to remove sap safely from hard surfaces.
https://www.youtube.com/watch?v=0V6Eh8U-xqA,4,You can also use toothpaste or rubbing alcohol.,Use,toothpaste,toothpaste or rubbing alcohol,Try rubbing alcohol or nail polish remover for big patches.,Use toothpaste.
https://www.youtube.com/watch?v=0V6Eh8U-xqA,5,"Whichever method you use, wash your hands with warm, soapy water when you're finished to get rid of any leftover residue.",Use,method,Whichever method,"Make bath out of warm water, salt, and honey for a naturally softening clean.",Wipe down your saw or pruners with hand sanitizer if they’re sticky.
https://www.youtube.com/watch?v=2-lXx8_3GuY,1,to stretch out new shoes.,Stretch,shoes,new shoes,Use a shoe stretcher to gradually widen leather shoes.,Place wet newspaper into the shoes for more stretching power.
https://www.youtube.com/watch?v=2-lXx8_3GuY,2,Put them on with thick socks.,Put,them,them,Wear thick socks and heat the shoes with a hair dryer for a fast stretch.,Wear thick socks and heat the shoes with a hair dryer for a fast stretch.
https://www.youtube.com/watch?v=2-lXx8_3GuY,3,Then heat them with a blow dryer for about 30 seconds at a time.,Heat,them,them,Wear thick socks and heat the shoes with a hair dryer for a fast stretch.,Wear thick socks and heat the shoes with a hair dryer for a fast stretch.
https://www.youtube.com/watch?v=2-lXx8_3GuY,4,Wiggle your toes and bend your feet to help stretch them out.,Wiggle,toes,your toes,Roll up socks and stuff them into the toes of the shoes for a gentle stretch.,Roll up socks and stuff them into the toes of the shoes for a gentle stretch.
https://www.youtube.com/watch?v=2-lXx8_3GuY,5,Make sure you keep the blow dryer constantly moving so you don't damage your shoes.,Make,,sure you keep the blow dryer constantly moving so you do n't damage your shoes,Wear thick socks and heat the shoes with a hair dryer for a fast stretch.,Wear thick socks and heat the shoes with a hair dryer for a fast stretch.
https://www.youtube.com/watch?v=2-lXx8_3GuY,6,You can also stretch out your shoes by filling two sealable plastic bags part of the way with water and putting one in each shoe.,Stretch,shoes,your shoes,Fill a resealable bag halfway with water and place it in the shoe.,Roll up socks and stuff them into the toes of the shoes for a gentle stretch.
https://www.youtube.com/watch?v=2-lXx8_3GuY,7,Place your shoes in the freezer overnight.,Place,shoes,your shoes,Place the shoes onto a tray and place the tray in the freezer.,Place the shoes onto a tray and place the tray in the freezer.
https://www.youtube.com/watch?v=2-lXx8_3GuY,8,"When the water freezes, it will expand and stretch your shoes out.",Freeze,,the water,Fill a resealable bag halfway with water and place it in the shoe.,Place the shoes onto a tray and place the tray in the freezer.
https://www.youtube.com/watch?v=2-lXx8_3GuY,9,There are also adjustable shoe trees you can buy online that let you expand the length and width of your shoes that are too small.,Be,trees,adjustable shoe trees you can buy online that let you expand the length and width of your shoes that are too small,Roll up socks and stuff them into the toes of the shoes for a gentle stretch.,Use a shoe stretcher to gradually widen leather shoes.
https://www.youtube.com/watch?v=2-lXx8_3GuY,10,"If all else fails, consider taking your shoes to a shoe repair professional.",Fail,,all else,Use a shoe stretcher to gradually widen leather shoes.,Spray the shoes with rubbing alcohol for a custom fit.
https://www.youtube.com/watch?v=2-lXx8_3GuY,11,They may be able to stretch them out using machines that give better results.,Use,machines,They,Roll up socks and stuff them into the toes of the shoes for a gentle stretch.,Use a shoe stretcher to gradually widen leather shoes.
https://www.youtube.com/watch?v=RYRrEBcTuHs,1,can't hope called faith yaoint I uh prepare the the,Hope,,called faith yaoint,Put a whole lemon in the microwave for 10-20 seconds.,Wash your lemon and set it out on a cutting board.
https://www.youtube.com/watch?v=tA0kGbeEIAU,1,"To carve a turkey, start by placing it on a cutting board with a well around the edge to collect any juices that drip out.",Carve,turkey,a turkey,Slice the thigh meat by holding it firmly to the cutting surface with a fork.,Place the cooked turkey on a clean wooden board.
https://www.youtube.com/watch?v=tA0kGbeEIAU,2,Be sure that the turkey has rested at room temperature for about 30 minutes after roasting.,,,the turkey,Allow the turkey to stand at room temperature for 10-15 minutes or longer after roasting.,Allow the turkey to stand at room temperature for 10-15 minutes or longer after roasting.
https://www.youtube.com/watch?v=tA0kGbeEIAU,3,Begin carving the turkey by removing the drumsticks.,Begin,,carving the turkey by removing the drumsticks,Slice the thigh meat by holding it firmly to the cutting surface with a fork.,Place the cooked turkey on a clean wooden board.
https://www.youtube.com/watch?v=tA0kGbeEIAU,4,"Cut through the skin above the drumstick, but don't cut through the joint.",Cut,through,,Cut the leg at its knee joint.,Cut the leg at its knee joint.
https://www.youtube.com/watch?v=tA0kGbeEIAU,5,"Hold the breast with one hand and the drumstick with the other, and push down on the drumstick until the joint pops.",Hold,breast,the breast,"Poke into the cavity with your finger, feeling around for the wishbone.",Cut off the wing tips from the breasts.
https://www.youtube.com/watch?v=tA0kGbeEIAU,6,"Then take a knife and cut away a little bit of skin from the neck end of the breast, so you can see the meat.",See,meat,a knife,Remove a little skin from the neck-end of the turkey's breast.,Angle the knife and cut the meat away from the carcass.
https://www.youtube.com/watch?v=tA0kGbeEIAU,7,Locate the wishbone in the cavity with your finger and pull it out.,Locate,wishbone,the wishbone,"Poke into the cavity with your finger, feeling around for the wishbone.","Poke into the cavity with your finger, feeling around for the wishbone."
https://www.youtube.com/watch?v=tA0kGbeEIAU,8,Begin removing the breast meat by cutting straight along the length of the breastbone.,Begin,,removing the breast meat by cutting straight along the length of the breastbone,Slice the thigh meat by holding it firmly to the cutting surface with a fork.,Cut off the wing tips from the breasts.
https://www.youtube.com/watch?v=tA0kGbeEIAU,9,Remove the wings by cutting through the joints with a sharp knife.,Remove,wings,the wings,Slice the thigh meat by holding it firmly to the cutting surface with a fork.,Cut off the wing tips from the breasts.
https://www.youtube.com/watch?v=tA0kGbeEIAU,10,Slice the breast and place them on a platter to serve.,Slice,breast,the breast,Place the cooked turkey on a clean wooden board.,Warm the serving platter.
https://www.youtube.com/watch?v=tA0kGbeEIAU,11,Remove the thighs from the drumsticks by cutting through the joints.,Remove,thighs,the thighs,Slice the thigh meat by holding it firmly to the cutting surface with a fork.,Cut the leg at its knee joint.
https://www.youtube.com/watch?v=tA0kGbeEIAU,12,Then debone the thighs by slicing around the thigh bone.,Debone,thighs,the thighs,Slice the thigh meat by holding it firmly to the cutting surface with a fork.,Slice the thigh meat by holding it firmly to the cutting surface with a fork.
https://www.youtube.com/watch?v=tA0kGbeEIAU,13,Slice the thigh meat and place on the platter for people who enjoy dark meat.,Slice,meat,the thigh meat,Slice the thigh meat by holding it firmly to the cutting surface with a fork.,Slice the thigh meat by holding it firmly to the cutting surface with a fork.
https://www.youtube.com/watch?v=tA0kGbeEIAU,14,Add your wings and drumsticks to the platter and serve.,Add,wings,your wings and drumsticks,"Allow the wishbone to dry for a few days, and then use it to make a wish.",Warm the serving platter.
https://www.youtube.com/watch?v=LTq7AXQ-IhA,1,Wash your potato to remove excess dirt.,Wash,potato,your potato,Wash the potato.,Wash the potato.
https://www.youtube.com/watch?v=LTq7AXQ-IhA,2,Prick holes in the potato's sides so steam can escape.,Hole,,in the potato 's sides,Prick the potato with a fork.,Place the potato on a microwavable plate.
https://www.youtube.com/watch?v=LTq7AXQ-IhA,3,Place the potato on a microwave safe plate.,Place,potato,the potato,Place the potato on a microwavable plate.,Place the potato on a microwavable plate.
https://www.youtube.com/watch?v=LTq7AXQ-IhA,4,Cook the potato on high for 8 to 12 minutes.,Cook,potato,the potato,Let the potato rest for five minutes.,Let the potato rest for five minutes.
https://www.youtube.com/watch?v=LTq7AXQ-IhA,5,Remove the potato once it's slightly firm but can be easily pierced with a fork.,Remove,potato,the potato,Prick the potato with a fork.,Prick the potato with a fork.
